id,name_zh,name_en,source_page,original_image_url,author,license,license_url,public_domain,commercial_use_allowed,attribution_required,modified,local_main_path,local_thumb_path,download_date,notes
P001,孔子,Confucius,https://commons.wikimedia.org/wiki/File:%E8%87%B3%E8%81%96%E5%85%88%E8%B3%A2%E5%8D%8A%E8%BA%AB%E5%83%8F_%E5%86%8A-001-%E5%AD%94%E5%AD%90.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/%E8%87%B3%E8%81%96%E5%85%88%E8%B3%A2%E5%8D%8A%E8%BA%AB%E5%83%8F_%E5%86%8A-001-%E5%AD%94%E5%AD%90.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,AnonymousUnknown author,Public Domain,,true,true,false,true,./portraits/P001/main.webp,./portraits/P001/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q4604 P18; source 3190x4485; crop=(154, 486, 1450, 2105); face_detected=False; main=96488 bytes; thumb=5664 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: National Palace Museum traditional half portrait; public-domain historical artwork. Manual crop removes the marginal title and focuses on the sitter."
P002,老子,Laozi,https://commons.wikimedia.org/wiki/File:%E6%AD%B7%E4%BB%A3%E8%81%96%E8%B3%A2%E5%8D%8A%E8%BA%AB%E5%83%8F_%E5%86%8A_%E8%80%81%E5%AD%90_(Laozi).png,https://upload.wikimedia.org/wikipedia/commons/0/06/%E6%AD%B7%E4%BB%A3%E8%81%96%E8%B3%A2%E5%8D%8A%E8%BA%AB%E5%83%8F_%E5%86%8A_%E8%80%81%E5%AD%90_%28Laozi%29.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,歷代聖賢半身像 冊 老子. 故宮典藏資料檢索. National Palace Museum.,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,false,true,true,true,./portraits/P002/main.webp,./portraits/P002/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q9333 P18; source 1750x2000; crop=(105, 400, 1306, 1900); face_detected=True; main=37760 bytes; thumb=3502 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: National Palace Museum album-leaf portrait under CC BY 4.0. Manual crop removes marginal text and focuses on the sitter."
P003,孙子,Sun Tzu,"https://commons.wikimedia.org/wiki/File:Sunzi,_Author_of_Art_of_War_(9873714545).jpg",https://upload.wikimedia.org/wikipedia/commons/f/f8/Sunzi%2C_Author_of_Art_of_War_%289873714545%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Gary Todd from Xinzheng, China",CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,true,true,false,true,./portraits/P003/main.webp,./portraits/P003/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q1207639 P18; source 3888x2592; crop=(465, 0, 1489, 1280); face_detected=True; main=63786 bytes; thumb=15000 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: CC0 photograph of the traditional Sun Tzu statue; identity reviewed against Commons description."
P004,管仲,Guan Zhong,https://commons.wikimedia.org/wiki/File:Guan_Zhong.png,https://upload.wikimedia.org/wikipedia/commons/7/72/Guan_Zhong.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Unknown authorUnknown author,Public Domain,,true,true,false,true,./portraits/P004/main.webp,./portraits/P004/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q457972 P18; source 476x680; crop=(0, 85, 476, 680); face_detected=True; main=34874 bytes; thumb=8742 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Public-domain Qing dynasty portrait from Lidai Mingchen Xiang Jie."
P005,商鞅,Shang Yang,https://commons.wikimedia.org/wiki/File:Statue_of_Shang_Yang.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Statue_of_Shang_Yang.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Taken by Fanghong,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,false,true,true,true,./portraits/P005/main.webp,./portraits/P005/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q351345 P18; source 1520x2260; crop=(353, 359, 1167, 1381); face_detected=True; main=129126 bytes; thumb=18362 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Manual 4:5 upper-statue crop removes the pedestal inscription."
P006,孟子,Mencius,https://commons.wikimedia.org/wiki/File:Half_Portraits_of_the_Great_Sage_and_Virtuous_Men_of_Old_-_Meng_Ke_(%E5%AD%9F%E8%BB%BB).jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Half_Portraits_of_the_Great_Sage_and_Virtuous_Men_of_Old_-_Meng_Ke_%28%E5%AD%9F%E8%BB%BB%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,anonymous,Public Domain,,true,true,false,true,./portraits/P006/main.webp,./portraits/P006/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q188903 P18; source 1178x1595; crop=(0, 123, 1178, 1595); face_detected=True; main=58744 bytes; thumb=5280 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P007,庄子,Zhuang Zhou,https://commons.wikimedia.org/wiki/File:Zhuangzi.png,https://upload.wikimedia.org/wikipedia/commons/e/e5/Zhuangzi.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Unknown authorUnknown author,Public Domain,,true,true,false,true,./portraits/P007/main.webp,./portraits/P007/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q47739 P18; source 1339x1799; crop=(0, 22, 1339, 1696); face_detected=False; main=100512 bytes; thumb=5464 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P008,屈原,Qu Yuan,https://commons.wikimedia.org/wiki/File:Qu_Yuan_Chen_Hongshou_2.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/Qu_Yuan_Chen_Hongshou_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Chen Hongshou,Public Domain,,true,true,false,true,./portraits/P008/main.webp,./portraits/P008/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q313330 P18; source 758x751; crop=(129, 0, 730, 751); face_detected=True; main=84112 bytes; thumb=13614 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P009,秦始皇,Qin Shi Huang,https://commons.wikimedia.org/wiki/File:Qinshihuang.jpg,https://upload.wikimedia.org/wikipedia/commons/2/27/Qinshihuang.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Unknown artistUnknown artist,Public Domain,,true,true,false,true,./portraits/P009/main.webp,./portraits/P009/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q7192 P18; source 1480x2220; crop=(0, 67, 1480, 1917); face_detected=False; main=58034 bytes; thumb=10086 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Higher-resolution public-domain traditional portrait of Qin Shi Huang."
P010,汉武帝,Emperor Wu of Han,https://commons.wikimedia.org/wiki/File:%E6%BC%A2%E6%AD%A6%E5%B8%9D.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/%E6%BC%A2%E6%AD%A6%E5%B8%9D.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Unknown authorUnknown author,Public Domain,,true,true,false,true,./portraits/P010/main.webp,./portraits/P010/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q7225 P18; source 450x613; crop=(0, 51, 450, 613); face_detected=True; main=45554 bytes; thumb=10582 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
P011,司马迁,Sima Qian,https://commons.wikimedia.org/wiki/File:Si_maqian.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Si_maqian.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,scan from 《社会历史博物馆》 ISBN 7-5347-1397-8,Public Domain,,true,true,false,true,./portraits/P011/main.webp,./portraits/P011/thumb.webp,2026-09-07,"Identity verified through exact zhwiki page and Wikidata Q9372 P18; source 364x372; crop=(37, 0, 335, 372); face_detected=True; main=60106 bytes; thumb=14184 bytes; deterministic crop/resize/WebP/contrast +2%. Review note: Wikidata P18 candidate reviewed against contact sheet."
